Disease,Description,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Workouts,Medication
Brachial neuritis,"Brachial neuritis is inflammation of the brachial plexus nerves, causing sudden shoulder and arm pain followed by weakness or numbness.","['Protein-rich foods (chicken, beans)', 'Anti-inflammatory foods (turmeric, ginger)', 'Omega-3 fatty acids (salmon, walnuts)', 'Vitamin B complex (whole grains, eggs)', 'Hydration']",Avoid heavy lifting,Physical therapy,Manage pain with meds,Get adequate rest,"[""Range-of-motion exercises: Restore shoulder movement"", ""Light resistance training: Under physiotherapy"", ""Avoid overhead lifting"", ""Pain management with guided stretching""]","['NSAIDs', 'Oral corticosteroids', 'Gabapentin or Pregabalin', 'Physical therapy', 'Pain management']"
Esophagitis,"Esophagitis is inflammation of the esophagus, commonly due to acid reflux, infections, or medications, causing pain when swallowing and chest discomfort.","['Soft, bland diet (bananas, applesauce, oatmeal)', 'Avoid spicy, acidic, and fatty foods', 'Small frequent meals', 'Hydration', 'Avoid caffeine and alcohol']",Avoid spicy & acidic food,Eat smaller meals,Sit upright after eating,Follow prescribed medication,"[""Avoid high-impact workouts post meals"", ""Walking: Gentle digestive aid"", ""Breathing exercises: Ease reflux"", ""No crunches or abdominal pressure""]","['Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Sucralfate', 'Antifungal or antiviral agents (if infectious)', 'Dietary changes']"
Diverticulitis,"Diverticulitis is inflammation or infection of small pouches (diverticula) in the colon wall, leading to abdominal pain, fever, and changes in bowel habits.","['Low-fiber diet during flare-up (white bread, white rice)', 'Hydration', 'Gradual increase to high-fiber diet (fruits, vegetables, whole grains)', 'Avoid nuts and seeds during flare-ups', 'Probiotics']",Eat low-fiber during flare-ups,Stay hydrated,Take antibiotics if prescribed,Avoid seeds/nuts if advised,"[""Rest: During acute phase"", ""Walking: Light and easy on digestion"", ""Avoid heavy weights: Prevent abdominal strain"", ""Hydration support during and after workouts""]","['Antibiotics (e.g., Ciprofloxacin + Metronidazole)', 'Clear liquid diet (during flare)', 'Pain relievers', 'High-fiber diet (after recovery)', 'Surgery (if complications)']"
Sprain or strain,"A sprain is a stretched or torn ligament, while a strain is a stretched or torn muscle or tendon; both cause pain, swelling, and limited movement.","['Protein-rich foods (lean meat, eggs)', 'Anti-inflammatory foods (ginger, turmeric)', 'Vitamin C-rich foods (citrus fruits)', 'Hydration', 'Zinc-rich foods (nuts, seeds)']",Rest the area,Apply ice packs,Compression with bandage,Elevate the limb,"[""RICE first (rest, ice, compress, elevate)"", ""Gentle range-of-motion exercises: After pain subsides"", ""Avoid re-injury: Use supports if needed"", ""Rehabilitation-focused strength training""]","['RICE (Rest, Ice, Compression, Elevation)', 'NSAIDs (e.g., Ibuprofen)', 'Muscle relaxants', 'Physical therapy', 'Immobilization (if needed)']"
Idiopathic painful menstruation,"Idiopathic painful menstruation (primary dysmenorrhea) is severe menstrual cramping without an identifiable medical condition, often starting in adolescence.","['Magnesium-rich foods (spinach, dark chocolate)', 'Omega-3 fatty acids (salmon, walnuts)', 'Hydration', 'Avoid salty and processed foods', 'Ginger and turmeric tea']",Use heat pads,Take antispasmodics/NSAIDs,Regular exercise,Avoid stress,"[""Yoga: Especially child’s pose and reclined twist"", ""Walking: Helps reduce cramps"", ""Heat therapy post-exercise: Relieves pain"", ""Avoid high-intensity workouts during pain spikes""]","['NSAIDs (e.g., Ibuprofen)', 'Oral contraceptives', 'Heat therapy', 'Vitamin B1 and magnesium supplements', 'Physical activity']"
Eustachian tube dysfunction (ear disorder),"Eustachian tube dysfunction occurs when the tube connecting the middle ear to the throat becomes blocked or fails to open, causing pressure, pain, or hearing issues.","['Anti-inflammatory foods (berries, leafy greens)', 'Vitamin C-rich foods (oranges, peppers)', 'Hydration', 'Avoid dairy if congestion worsens', 'Probiotics (yogurt)']",Avoid flying with a cold,Use decongestants,Perform Valsalva maneuver,Stay hydrated,"[""Avoid pressure changes: No underwater or flying sports"", ""Breathing and jaw exercises: Promote drainage"", ""Gentle yoga: Avoid headstand poses"", ""Walking: Comfortable, low pressure""]","['Nasal decongestants', 'Nasal corticosteroids', 'Auto-inflation (e.g., Valsalva maneuver)', 'Antihistamines', 'Surgical placement of ear tubes (in severe cases)']"
Appendicitis,"Appendicitis is inflammation of the appendix, usually requiring surgery, and causes sudden lower right abdominal pain, nausea, and fever.","['Post-surgery: soft foods (broths, rice, applesauce)', 'Hydration', 'Avoid high-fat and spicy foods', 'Gradually introduce fiber (vegetables, fruits)', 'Probiotics']",Avoid taking laxatives,Seek emergency care,Don’t eat or drink before surgery,Follow post-op instructions,"[""Complete rest post-surgery"", ""Physical therapy: If surgery involved"", ""Walking: Introduced gradually"", ""Avoid abdominal workouts until cleared""]","['Surgical removal (Appendectomy)', 'Pre-operative antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain management', 'IV fluids', 'NPO status before surgery']"
Hyperemesis gravidarum,"Hyperemesis gravidarum is a severe form of morning sickness in pregnancy, leading to persistent nausea, vomiting, dehydration, and weight loss.","['Small frequent meals', 'Bland foods (crackers, rice)', 'Ginger tea', 'Vitamin B6-rich foods (bananas, chickpeas)', 'Hydration with electrolytes (ORS, coconut water)']","Eat small, frequent meals",Stay hydrated,Avoid strong odors,Take prescribed anti-nausea meds,"[""Gentle walking: If tolerated"", ""Prenatal yoga: Helps manage nausea"", ""Avoid fast movements: Prevent triggering symptoms"", ""Hydration breaks essential""]","['IV fluids and electrolytes', 'Vitamin B6 (Pyridoxine)', 'Antiemetics (e.g., Ondansetron, Promethazine)', 'Thiamine supplementation', 'Nutritional support (e.g., TPN if severe)']"
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of the urinary system, commonly the bladder, causing pain during urination, urgency, and cloudy or strong-smelling urine.","['Hydration (water, cranberry juice)', 'Avoid caffeine, alcohol, and spicy foods', 'Vitamin C-rich foods (citrus, bell peppers)', 'Probiotics (yogurt, kefir)', 'Fiber-rich foods']",Drink plenty of fluids,Urinate after sex,Wipe front to back,Complete antibiotic course,"[""Walking: Gentle activity safe during mild infections"", ""Avoid workouts that apply pressure to bladder"", ""Hydration-focused workouts"", ""Pelvic floor exercises: Strengthen urinary control""]","['Nitrofurantoin', 'Ciprofloxacin', 'Trimethoprim-sulfamethoxazole', 'Cranberry supplements', 'Hydration therapy']"
Peripheral nerve disorder,"Peripheral nerve disorders affect the nerves outside the brain and spinal cord, leading to numbness, weakness, pain, or coordination problems.","['Vitamin B-rich foods (whole grains, eggs, leafy greens)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Anti-inflammatory foods (turmeric, berries)', 'Hydration']",Avoid repetitive injury,Use ergonomic tools,Take B vitamins if deficient,Follow neurologist’s advice,"[""Balance training: Prevent falls"", ""Physical therapy: Guided nerve rehab"", ""Stretching: Maintain flexibility"", ""Swimming: Low-impact full-body option""]","['Gabapentin', 'Pregabalin', 'Amitriptyline', 'Physical therapy', 'Alpha-lipoic acid (as supplement)']"
Sebaceous cyst,"A sebaceous cyst is a noncancerous bump beneath the skin, filled with oily material, often caused by blocked sebaceous glands.","['Anti-inflammatory foods (ginger, turmeric, leafy greens)', 'Zinc-rich foods (pumpkin seeds, nuts)', 'Vitamin A-rich foods (carrots, sweet potatoes)', 'Hydration']",Keep area clean,Avoid squeezing,Apply warm compress,Get it drained by a doctor if needed,"[""Avoid pressure or friction on cyst"", ""Low-sweat activities: Prevent irritation"", ""Walking or yoga: With non-abrasive clothing"", ""Avoid helmets/hats if cyst is on scalp""]","['Warm compress', 'Incision and drainage (if infected)', 'Antibiotics (if signs of infection)', 'Surgical excision', 'Steroid injection (if inflamed)']"
Spontaneous abortion,"Spontaneous abortion (miscarriage) is the loss of a pregnancy before 20 weeks, often due to genetic issues or unknown causes, and may involve bleeding and cramping.","['Iron-rich foods (red meat, spinach)', 'Vitamin C (citrus, strawberries)', 'Folate-rich foods (legumes, dark leafy greens)', 'Hydration', 'Comforting herbal teas']",Take emotional support,Rest adequately,Avoid strenuous activity,Follow up for check-up,"[""Gentle stretching: Emotional and physical recovery"", ""Walking: When emotionally and physically ready"", ""Yoga: Calms the nervous system"", ""Avoid strenuous exercise: Until cleared by doctor""]","['Misoprostol (to complete expulsion)', 'Mifepristone + Misoprostol (in selected cases)', 'Dilation and curettage (if needed)', 'Rh immunoglobulin (if Rh-negative)', 'Emotional support and counseling']"
Gallstone,"Gallstones are hardened deposits of digestive fluid in the gallbladder that can block bile flow, causing abdominal pain, nausea, and sometimes infection.","['Low-fat diet (steamed vegetables, lean meats)', 'High-fiber foods (whole grains, apples)', 'Avoid fried foods and refined carbs', 'Hydration', 'Small frequent meals']",Avoid high-fat foods,Maintain a healthy weight,Eat regular meals,Follow up for surgical evaluation if needed,"[""Avoid high-fat pre-workout meals"", ""Walking: Encourages digestion"", ""Breathing exercises: Reduce stress and spasm"", ""Avoid core-focused exercises: Prevent discomfort""]","['Ursodeoxycholic acid (in some cases)', 'Pain relievers (e.g., NSAIDs)', 'Cholecystectomy (surgical removal)', 'Antibiotics (if cholecystitis)', 'Dietary modifications']"
Multiple sclerosis,"Multiple sclerosis (MS) is an autoimmune disease where the immune system attacks the protective sheath of nerves, leading to weakness, vision problems, and coordination issues.","['Omega-3 fatty acids (flaxseeds, salmon)', 'Vitamin D-rich foods (eggs, fortified milk)', 'Antioxidant-rich foods (berries, spinach)', 'Limit saturated fats', 'Probiotics']",Avoid overheating,Follow medication schedule,Stay physically active,Rest when needed,"[""Balance training: Prevent falls"", ""Aqua therapy: Joint-friendly"", ""Stretching: Reduce stiffness"", ""Seated resistance training: Build strength safely""]","['Interferon beta', 'Glatiramer acetate', 'Natalizumab', 'Corticosteroids (for flare-ups)', 'Disease-modifying therapies (e.g., Fingolimod)']"
Angina,"Angina is chest pain or discomfort due to reduced blood flow to the heart muscle, often triggered by exertion or stress, and relieved by rest or medication.","['Heart-healthy diet (oats, olive oil, fish)', 'Omega-3 fatty acids (salmon, flaxseed)', 'Low-sodium foods', 'Fruits and vegetables', 'Avoid trans fats and red meat']",Avoid overexertion,Take nitroglycerin as prescribed,Manage stress,Avoid cold exposure,"[""Cardiac rehab exercises: Under supervision"", ""Walking on flat ground: Safe cardiovascular option"", ""Avoid cold-weather workouts: Prevent constriction"", ""No heavy lifting: Can trigger symptoms""]","['Nitroglycerin (sublingual)', 'Beta-blockers', 'Calcium channel blockers', 'Aspirin', 'Statins']"
Skin pigmentation disorder,"Skin pigmentation disorders involve changes in skin color due to excess or lack of melanin, such as vitiligo, melasma, or hyperpigmentation.","['Vitamin C-rich foods (oranges, bell peppers)', 'Vitamin E-rich foods (almonds, sunflower seeds)', 'Beta-carotene (carrots, sweet potatoes)', 'Hydration', 'Green tea']",Use sunscreen daily,Avoid skin irritants,Follow dermatological treatments,Stay hydrated,"[""Avoid sun exposure: Exercise indoors or with protection"", ""Low-sweat activities: Prevent friction and inflammation"", ""Yoga: Gentle and non-irritating"", ""Hydration: Helps skin health""]","['Hydroquinone cream', 'Topical retinoids', 'Azelaic acid', 'Chemical peels', 'Laser therapy (for resistant cases)']"
Personality disorder,"Personality disorders are mental health conditions involving rigid and unhealthy patterns of thinking, functioning, and behaving that impair social or occupational life.","['Balanced diet', 'Omega-3 fatty acids (walnuts, flaxseed)', 'Vitamin B-complex (eggs, legumes)', 'Magnesium-rich foods (dark chocolate, spinach)', 'Avoid sugar and processed foods']",Follow psychotherapy plan,Avoid substance use,Build healthy relationships,Maintain regular routines,"[""Team sports: Encourage social interaction"", ""Walking or running: Structured routine helps mood"", ""Yoga or tai chi: Promote mindfulness"", ""Supervised fitness coaching: Builds discipline and trust""]","['Psychotherapy (e.g., DBT for BPD)', 'SSRIs (for mood symptoms)', 'Mood stabilizers (e.g., Lithium)', 'Antipsychotics (in some cases)', 'Group therapy']"
Strep throat,"Strep throat is a bacterial throat infection caused by Streptococcus pyogenes, leading to sore throat, fever, swollen glands, and red tonsils with white patches.","['Soft foods (soups, mashed potatoes)', 'Warm teas (ginger, chamomile)', 'Hydration', 'Avoid acidic or spicy foods', 'Vitamin C-rich foods (oranges, strawberries)']",Complete full antibiotic course,Avoid sharing utensils,Get adequate rest,Drink warm fluids,"[""Rest: Until infection clears"", ""Avoid cardio: While febrile or sore throat"", ""Walking: Gradually after symptoms ease"", ""Hydration and vocal rest after workouts""]","['Penicillin', 'Amoxicillin', 'Azithromycin (if allergic to penicillin)', 'Analgesics (e.g., Acetaminophen)', 'Salt water gargles']"
Developmental disability,"Developmental disabilities are chronic conditions that begin in childhood and affect physical, learning, language, or behavioral areas, such as autism or intellectual disability.","['Balanced, nutrient-dense diet', 'Omega-3 fatty acids (fish, flaxseeds)', 'B vitamins (whole grains, meat)', 'Fiber-rich foods', 'Limit sugar and artificial additives']",Follow individualized education plans,Encourage structured routine,Regular therapy,Provide positive reinforcement,"[""Occupational therapy-integrated activities"", ""Swimming: Enhances motor coordination"", ""Group play or structured fitness"", ""Balance and core work: Tailored to individual ability""]","['Speech therapy', 'Occupational therapy', 'Behavioral therapy', 'Medications (e.g., Risperidone for irritability in autism)', 'Special education programs']"
Chronic back pain,"Chronic back pain is persistent or recurring pain in the back lasting more than three months, often due to structural issues, nerve damage, or degenerative conditions.","['Anti-inflammatory foods (berries, turmeric)', 'Calcium and Vitamin D (milk, cheese, eggs)', 'Magnesium-rich foods (nuts, leafy greens)', 'Omega-3s (salmon)']",Maintain proper posture,Regular stretching,Use ergonomic furniture,Avoid lifting heavy objects,"[""Core stabilization: Essential for support"", ""Water aerobics: Minimal spinal impact"", ""Stretching: Hamstrings, hips, and back"", ""Avoid high-impact sports""]","['NSAIDs', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Chronic pain management (e.g., TENS, acupuncture)']"
Heart failure,"Heart failure is a condition where the heart can't pump blood effectively, leading to fatigue, shortness of breath, fluid retention, and reduced exercise capacity.","['Low-sodium diet', 'Fluid monitoring', 'Potassium-rich foods (bananas, sweet potatoes)', 'Omega-3 fatty acids (fish)', 'Avoid red meat and saturated fats']",Monitor fluid intake,Follow low-sodium diet,Take prescribed meds,Track weight daily,"[""Supervised cardiac rehab: Custom-designed programs"", ""Walking: Slow and monitored"", ""Breathing techniques: Improve oxygen efficiency"", ""Avoid dehydration or sudden exertion""]","['ACE inhibitors', 'Beta-blockers', 'Loop diuretics (e.g., Furosemide)', 'Aldosterone antagonists (e.g., Spironolactone)', 'Digoxin (in some cases)']"
Conjunctivitis,"Conjunctivitis (pink eye) is inflammation of the conjunctiva of the eye due to infection or allergy, resulting in redness, discharge, and eye irritation.","['Vitamin A-rich foods (carrots, spinach)', 'Zinc-rich foods (pumpkin seeds)', 'Hydration', 'Probiotics (yogurt)', 'Avoid dairy if allergic']",Use prescribed eye drops,Avoid touching/rubbing eyes,Wash hands frequently,Don’t share towels,"[""Avoid water sports: Prevent further irritation"", ""Gentle indoor walking: Prevent eye strain"", ""Do not share gym equipment"", ""Clean face after workouts""]","['Antibiotic eye drops (e.g., Erythromycin, Moxifloxacin)', 'Antiviral drops (e.g., Ganciclovir for herpes)', 'Lubricant drops', 'Antihistamines (for allergic type)', 'Cool compresses']"
Herniated disk,"A herniated disk occurs when the inner gel-like core of a spinal disc bulges out through a tear, pressing on nearby nerves and causing back pain, numbness, or weakness.","['Anti-inflammatory diet (ginger, leafy greens)', 'Omega-3 fatty acids (fish, flaxseed)', 'Vitamin D and calcium (fortified foods, milk)', 'Hydration']",Avoid lifting heavy items,Follow physical therapy,Use proper posture,Take prescribed meds,"[""McKenzie extension exercises: Under guidance"", ""Walking: Supports spine"", ""Core strengthening: Stabilizes back"", ""Avoid bending/twisting under load""]","['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgical discectomy (if severe)']"
Diaper rash,"Diaper rash is skin irritation in the diaper area of infants or adults using diapers, often caused by moisture, friction, or infection.","['Breastfeeding (for infants)', 'For older babies: Avoid acidic foods (tomatoes, citrus)', 'Probiotics (yogurt)', 'Zinc-rich foods (eggs, meat)', 'Hydration']",Keep area dry,Change diapers frequently,Apply protective creams,Avoid scented products,"[""Not exercise-relevant: Focus on hygiene"", ""Avoid heat and sweat buildup"", ""Let skin breathe"", ""Gentle motion in open diapers (for infants)""]","['Zinc oxide cream', 'Petroleum jelly', 'Topical antifungals (e.g., Clotrimazole)', 'Hydrocortisone cream (short-term)', 'Frequent diaper changes']"
Eczema,"Eczema (atopic dermatitis) is a chronic skin condition that causes itchy, inflamed, red, and dry skin, often triggered by allergens, stress, or irritants.","['Anti-inflammatory foods (turmeric, blueberries)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Avoid allergenic foods (dairy, gluten)', 'Probiotics', 'Vitamin D (eggs, mushrooms)']",Moisturize regularly,Avoid irritants like soaps & wool,Use corticosteroid creams,Reduce stress,"[""Avoid sweat-heavy routines"", ""Indoor walking or light yoga"", ""Cool, breathable workout clothing"", ""Shower promptly after exercise""]","['Topical corticosteroids', 'Emollients/Moisturizers', 'Antihistamines (for itching)', 'Calcineurin inhibitors (e.g., Tacrolimus)', 'Phototherapy (in severe cases)']"
